date,t,p
2018.7.14,20,755
2018.7.15,19,756
2018.7.16,26,755
2018.7.17,23,752
2018.7.18,29,752
2018.7.19,29,754
2018.7.20,26,754
2018.7.21,26,755
2018.7.22,27,755
2018.7.23,27,756
2018.7.24,27,757
2018.7.25,21,758
2018.7.26,26,760
2018.7.27,27,761
2018.7.28,29,756
2018.7.29,30,758
2018.7.30,30,761
2018.7.31,32,762
2018.8.1,14,758
2018.8.2,12,755
2018.8.3,16,756
2018.8.4,24,755
2018.8.5,25,753
2018.8.6,23,755
2018.8.7,24,758
2018.8.8,24,760
2018.8.9,25,758
2018.8.10,24,760
2018.8.11,27,758
2018.8.12,19,756
2018.8.13,23,755
2018.8.14,20,755
2018.8.15,19,756
2018.8.16,26,755
2018.8.17,23,752
2018.8.18,29,752
2018.8.19,29,754
2018.8.20,26,754
2018.8.21,26,755
2018.8.22,27,755
2018.8.23,27,756
2018.8.24,27,757
2018.8.25,21,758
2018.8.26,26,760
2018.8.27,27,761
2018.8.28,29,756
2018.8.29,30,758
2018.8.30,30,761
2018.8.31,32,762
2018.9.1,22,766
2018.9.2,21,768
2018.9.3,24,764
2018.9.4,23,758
2018.9.5,18,761
2018.9.6,25,758
2018.9.7,26,758
2018.9.8,22,761
2018.9.9,20,765
2018.9.10,22,764
2018.9.11,21,761
2018.9.12,22,759
2018.9.13,18,763
2018.9.14,19,763
2018.9.15,15,761
2018.9.16,14,765
2018.9.17,22,762
2018.9.18,24,761
2018.9.19,26,761
2018.9.20,27,760
2018.9.21,28,756
2018.9.22,16,757
2018.9.23,16,755
2018.9.24,9,754
2018.9.25,12,768
2018.9.26,12,767
2018.9.27,17,761
2018.9.28,14,758
2018.9.29,13,767
2018.9.30,14,762
2018.10.1,16,755
2018.10.2,14,754
2018.10.3,9,746
2018.10.4,12,762
2018.10.5,16,764
2018.10.6,18,758
2018.10.7,17,752
2018.10.8,11,767
2018.10.9,14,766
2018.10.10,20,767
2018.10.11,21,769
2018.10.12,21,769
2018.10.13,22,770
2018.10.14,21,767
2018.10.15,20,764
2018.10.16,20,764
2018.10.17,20,764
2018.10.18,19,761
2018.10.19,13,764
2018.10.20,12,765
2018.10.21,13,768
2018.10.22,11,761
2018.10.23,6,743
2018.10.24,7,743
2018.10.25,6,743
2018.10.26,9,751
2018.10.27,10,746
2018.10.28,7,761
2018.10.29,3,760
2018.10.30,16,754
2018.10.31,16,764
2018.11.1,12,765
2018.11.2,17,764
2018.11.3,10,768
2018.11.4,10,769
2018.11.5,11,764
2018.11.6,13,763
2018.11.7,10,762
2018.11.8,10,763
2018.11.9,7,763
2018.11.10,9,760
2018.11.11,6,762
2018.11.12,8,765
2018.11.13,10,762
2018.11.14,10,765
2018.11.15,10,773
2018.11.16,3,779
2018.11.17,4,779
2018.11.18,6,767
2018.11.19,5,770
2018.11.20,3,770
2018.11.21,0,770
2018.11.22,-3,770
2018.11.23,-3,769
2018.11.24,1,760
2018.11.25,2,758
2018.11.26,0,759
2018.11.27,0,762
2018.11.28,-5,773
2018.11.29,-3,774
2018.11.30,-1,768
2018.12.1,-4,761
2018.12.2,1,755
2018.12.3,3,748
2018.12.4,6,751
2018.12.5,5,763
2018.12.6,0,764
2018.12.7,2,751
2018.12.8,7,746
2018.12.9,5,740
2018.12.10,5,746
2018.12.11,3,756
2018.12.12,1,764
2018.12.13,-1,766
2018.12.14,0,769
2018.12.15,0,771
2018.12.16,-1,764
2018.12.17,-1,764
2018.12.18,-1,770
2018.12.19,-1,768
2018.12.20,-4,763
2018.12.21,-2,757
2018.12.22,1,746
2018.12.23,1,757
2018.12.24,-2,758
2018.12.25,0,760
2018.12.26,5,758
2018.12.27,4,758
2018.12.28,4,758
2018.12.29,4,763
2018.12.30,6,758
2018.12.31,2,767

2019.1.1,6,746
2019.1.2,1,751
2019.1.3,-2,764
2019.1.4,-2,760
2019.1.5,0,755
2019.1.6,-4,766
2019.1.7,-5,766
2019.1.8,-3,747
2019.1.9,-2,752
2019.1.10,-8,762
2019.1.11,-4,755
2019.1.12,0,749
2019.1.13,2,740
2019.1.14,-1,734
2019.1.15,1,743
2019.1.16,1,749
2019.1.17,3,743
2019.1.18,-1,753
2019.1.19,0,761
2019.1.20,0,758
2019.1.21,-2,761
2019.1.22,-3,760
2019.1.23,-5,757
2019.1.24,-8,762
2019.1.25,-6,758
2019.1.26,-4,751
2019.1.27,-4,748
2019.1.28,-1,745
2019.1.29,1,747
2019.1.30,-4,754
2019.1.31,-1,753
2019.2.1,2,752
2019.2.2,3,749
2019.2.3,3,755
2019.2.4,-1,765
2019.2.5,-1,767
2019.2.6,2,765
2019.2.7,4,759
2019.2.8,3,758
2019.2.9,4,752
